timestamp,polybag_id,fase,dosis_pupuk_gram,volume_air_ml,nitrogen,fosfor,kalium
2026-05-05 15:10:32,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:19:52,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:31:38,Polybag-A,sebelum_pemupukan,0,0,14,20,40
2026-05-05 15:31:53,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:32:08,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:32:23,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:32:38,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:32:54,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:33:09,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:33:28,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:33:43,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:33:58,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:34:14,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:34:29,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:34:44,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:34:59,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:35:14,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:35:30,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:35:45,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:36:00,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:36:15,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:36:30,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:36:45,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:37:01,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:37:16,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:37:31,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:37:46,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:38:01,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:38:17,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:38:32,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:38:47,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:39:02,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:39:17,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:39:32,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:39:48,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:40:03,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:40:18,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:40:33,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:40:48,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:41:04,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:41:19,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:41:34,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:41:49,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:42:04,Polybag-A,sebelum_pemupukan,0,0,16,22,45
2026-05-05 15:44:14,Polybag-A,sebelum_pemupukan,0,0,0,0,0
2026-05-05 15:44:30,Polybag-A,sebelum_pemupukan,0,0,0,0,0
2026-05-06 15:38:11,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:38:41,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:38:57,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:39:12,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:39:27,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:39:42,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:39:57,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:40:12,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:40:28,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:40:43,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:40:58,Polybag-A,akhir,0,0,10,14,28
2026-05-06 15:41:13,Polybag-A,akhir,0,0,10,14,28
